#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	S    	P    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
33        	5         	ok              	4.6420000000e-02	1.1420000000e+03	5.4190748351e+17	2.9441186552e+17	2.6008989189e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
34        	5         	ok              	3.6780000000e-02	1.1277000000e+03	4.3481418343e+17	2.3622965811e+17	2.6008955736e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
35        	5         	ok              	2.9150000000e-02	1.1162000000e+03	3.4816209410e+17	1.8915281890e+17	2.6008919042e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
36        	5         	ok              	2.3100000000e-02	1.1053000000e+03	2.7862253746e+17	1.5137288452e+17	2.6008888396e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
37        	5         	ok              	1.8310000000e-02	1.0947000000e+03	2.2298582046e+17	1.2114611827e+17	2.6008863719e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
38        	5         	ok              	1.4510000000e-02	1.0828000000e+03	1.7864995152e+17	9.7058917269e+16	2.6008846721e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
39        	5         	ok              	1.1500000000e-02	1.0720000000e+03	1.4301662864e+17	7.7699698202e+16	2.6008831377e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
40        	5         	ok              	9.1120000000e-03	1.0626000000e+03	1.1432129822e+17	6.2109806530e+16	2.6008817422e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
41        	5         	ok              	7.2210000000e-03	1.0552000000e+03	9.1231664240e+16	4.9565425570e+16	2.6008804650e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
42        	5         	ok              	5.7220000000e-03	1.0494000000e+03	7.2692507392e+16	3.9493267837e+16	2.6008793921e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
